trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.008, 'e': 0.9999680001706663}",20,0,-162.58439002910924,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 3}",0
2,False,"{'a': 0.008, 'e': 0.9998720027306434}",25,0,-143.16339035221463,"{0: 12, 1: 7, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.008, 'e': 0.9997120138237345}",20,0,-22.167674018872273,"{0: 15, 1: 2, 2: 3, 3: 0, 4: 0}",0
4,False,"{'a': 0.008, 'e': 0.9994880436891754}",20,0,-107.81713260271403,"{0: 10, 1: 3, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.008, 'e': 0.9992001066609779}",35,0,-121.4609711440938,"{0: 22, 1: 5, 2: 6, 3: 1, 4: 1}",0
6,False,"{'a': 0.008, 'e': 0.9988482211670138}",20,0,-74.80355417315064,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.008, 'e': 0.9984324097278344}",20,0,-10.297773472590436,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.008, 'e': 0.99795269895523}",20,0,-91.01333048371225,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.008, 'e': 0.9974091195505261}",20,0,-64.08456927840902,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
10,False,"{'a': 0.008, 'e': 0.9968017063026194}",20,0,-126.21401879297437,"{0: 11, 1: 4, 2: 2, 3: 1, 4: 2}",0
11,False,"{'a': 0.008, 'e': 0.9961304980857502}",20,0,-150.776356843784,"{0: 9, 1: 5, 2: 3, 3: 1, 4: 2}",0
12,False,"{'a': 0.008, 'e': 0.9953955378570153}",35,0,-118.92624318566573,"{0: 24, 1: 4, 2: 5, 3: 0, 4: 2}",0
13,False,"{'a': 0.008, 'e': 0.9945968726536185}",30,0,-218.75497951637618,"{0: 15, 1: 6, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.008, 'e': 0.9937345535898603}",20,0,-190.07453623196938,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
15,False,"{'a': 0.008, 'e': 0.9928086358538663}",25,0,-105.23373454749976,"{0: 16, 1: 1, 2: 7, 3: 0, 4: 1}",0
16,False,"{'a': 0.008, 'e': 0.9918191787040556}",20,0,-122.88192835754546,"{0: 12, 1: 1, 2: 3, 3: 3, 4: 1}",0
17,False,"{'a': 0.008, 'e': 0.990766245465348}",20,0,-49.42117430349974,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
18,False,"{'a': 0.008, 'e': 0.9896499035251115}",20,7,-56.971527011307415,"{0: 8, 1: 2, 2: 2, 3: 0, 4: 1}",1
19,False,"{'a': 0.008, 'e': 0.9884702243288492}",25,9,-82.78079694555983,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.008, 'e': 0.9872272833756269}",20,0,-136.69763593245585,"{0: 10, 1: 4, 2: 3, 3: 1, 4: 2}",0
21,False,"{'a': 0.008, 'e': 0.9859211602132415}",25,0,-126.41735748669805,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
22,False,"{'a': 0.008, 'e': 0.9845519384331295}",30,0,-65.54467511712252,"{0: 19, 1: 4, 2: 7, 3: 0, 4: 0}",0
23,False,"{'a': 0.008, 'e': 0.9831197056650174}",25,0,-137.2267191034533,"{0: 13, 1: 3, 2: 6, 3: 2, 4: 1}",0
24,False,"{'a': 0.008, 'e': 0.9816245535713135}",25,0,-189.89375666188306,"{0: 12, 1: 5, 2: 4, 3: 1, 4: 3}",0
25,False,"{'a': 0.008, 'e': 0.9800665778412416}",20,0,-123.17254588977393,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
26,False,"{'a': 0.008, 'e': 0.9784458781847165}",25,14,-85.75453463626076,"{0: 5, 1: 1, 2: 3, 3: 1, 4: 1}",1
27,False,"{'a': 0.008, 'e': 0.9767625583259631}",20,0,-117.49423795820798,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",1
28,False,"{'a': 0.008, 'e': 0.9750167259968777}",20,0,-67.4792727709642,"{0: 13, 1: 4, 2: 2, 3: 0, 4: 1}",0
29,False,"{'a': 0.008, 'e': 0.9732084929301336}",25,0,-108.92506033357918,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
30,False,"{'a': 0.008, 'e': 0.9713379748520296}",20,0,-63.80169100082813,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
31,False,"{'a': 0.008, 'e': 0.9694052914750845}",20,0,-33.1124802515558,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.008, 'e': 0.9674105664903746}",30,7,-208.58788109355555,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 4}",1
33,False,"{'a': 0.008, 'e': 0.965353927559618}",25,0,-75.39513616102052,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
34,False,"{'a': 0.008, 'e': 0.9632355063070045}",30,5,-137.11057100527538,"{0: 12, 1: 3, 2: 8, 3: 1, 4: 1}",1
35,False,"{'a': 0.008, 'e': 0.9610554383107709}",20,11,-5.19124830399967,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
36,False,"{'a': 0.008, 'e': 0.9588138630945251}",20,0,-163.98049616861977,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
37,False,"{'a': 0.008, 'e': 0.9565109241183156}",30,0,-138.46594603331414,"{0: 20, 1: 1, 2: 6, 3: 1, 4: 2}",0
38,False,"{'a': 0.008, 'e': 0.9541467687694509}",30,0,-39.34863096676199,"{0: 21, 1: 6, 2: 2, 3: 1, 4: 0}",0
39,False,"{'a': 0.008, 'e': 0.9517215483530664}",25,0,-110.0590199135043,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
40,False,"{'a': 0.008, 'e': 0.9492354180824408}",20,0,-53.6386299031075,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.008, 'e': 0.9466885370690631}",30,20,-25.94245604056699,"{0: 6, 1: 1, 2: 3, 3: 0, 4: 0}",1
42,False,"{'a': 0.008, 'e': 0.9440810683124485}",20,0,-95.11800574823748,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
43,False,"{'a': 0.008, 'e': 0.9414131786897075}",20,0,-112.98266516334678,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
44,False,"{'a': 0.008, 'e': 0.9386850389448655}",20,0,-46.05604491954244,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
45,False,"{'a': 0.008, 'e': 0.9358968236779348}",25,0,-168.64441152600762,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
46,False,"{'a': 0.008, 'e': 0.9330487113337409}",20,0,-45.06275001267102,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
47,False,"{'a': 0.008, 'e': 0.9301408841905014}",25,0,-89.0849586694596,"{0: 15, 1: 1, 2: 8, 3: 1, 4: 0}",0
48,False,"{'a': 0.008, 'e': 0.9271735283481612}",20,0,-43.1642802464205,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
49,False,"{'a': 0.008, 'e': 0.9241468337164814}",20,0,-86.12407948039963,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
50,False,"{'a': 0.008, 'e': 0.9210609940028851}",30,0,-142.42632104456078,"{0: 16, 1: 3, 2: 9, 3: 1, 4: 1}",0
51,False,"{'a': 0.008, 'e': 0.9179162067000607}",20,0,-80.2028250908749,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
52,False,"{'a': 0.008, 'e': 0.9147126730733223}",20,0,-88.6190524842431,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
53,False,"{'a': 0.008, 'e': 0.9114505981477284}",25,0,-96.14521271237992,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.008, 'e': 0.9081301906949609}",25,0,-159.5217131477105,"{0: 14, 1: 5, 2: 3, 3: 0, 4: 3}",0
55,False,"{'a': 0.008, 'e': 0.9047516632199634}",25,2,-38.000392041075465,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 0}",1
56,False,"{'a': 0.008, 'e': 0.9013152319473411}",20,0,-92.6591184715672,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
57,False,"{'a': 0.008, 'e': 0.8978211168075223}",20,0,-93.26952574664404,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
58,False,"{'a': 0.008, 'e': 0.8942695414226836}",30,0,-74.24073746475423,"{0: 19, 1: 3, 2: 8, 3: 0, 4: 0}",0
59,False,"{'a': 0.008, 'e': 0.890660733092437}",25,0,-179.38607616589258,"{0: 15, 1: 4, 2: 2, 3: 0, 4: 4}",0
60,False,"{'a': 0.008, 'e': 0.8869949227792842}",20,0,-117.72884602314444,"{0: 13, 1: 1, 2: 3, 3: 1, 4: 2}",0
61,False,"{'a': 0.008, 'e': 0.8832723450938338}",30,0,-107.83493346484903,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",1
62,False,"{'a': 0.008, 'e': 0.879493238279787}",20,0,-109.13518648753676,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
63,False,"{'a': 0.008, 'e': 0.87565784419869}",20,0,-11.053332374659009,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
64,False,"{'a': 0.008, 'e': 0.8717664083144548}",25,0,-69.74187989452636,"{0: 19, 1: 0, 2: 5, 3: 0, 4: 1}",0
65,False,"{'a': 0.008, 'e': 0.8678191796776499}",20,0,-32.38777290344494,"{0: 14, 1: 1, 2: 5, 3: 0, 4: 0}",0
66,False,"{'a': 0.008, 'e': 0.8638164109095605}",25,0,-35.7233861202753,"{0: 19, 1: 3, 2: 2, 3: 1, 4: 0}",0
67,False,"{'a': 0.008, 'e': 0.8597583581860216}",25,0,-126.93866931343892,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
