trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
70,False,"{'a': 0.1, 'e': 0.0009118819655545162}",20,0,27.45216464345271,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'a': 0.1, 'e': 0.0008251049232659038}",25,12,23.443294037002644,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.1, 'e': 0.0007465858083766792}",20,0,23.433222996511518,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
73,False,"{'a': 0.1, 'e': 0.0006755387751938437}",20,0,23.564965423439343,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
74,False,"{'a': 0.1, 'e': 0.0006112527611295723}",20,0,25.53426435960297,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.1, 'e': 0.0005530843701478336}",25,0,39.914453312272656,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.0005004514334406104}",20,0,26.487811698335193,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
77,False,"{'a': 0.1, 'e': 0.00045282718288679695}",25,0,12.180794247186984,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.1, 'e': 0.00040973497897978643}",25,0,34.154560827856756,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
79,False,"{'a': 0.1, 'e': 0.0003707435404590882}",25,0,33.916336811886765,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
80,False,"{'a': 0.1, 'e': 0.00033546262790251185}",20,0,23.085667897268994,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
81,False,"{'a': 0.1, 'e': 0.0003035391380788668}",25,0,27.659930824874014,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.1, 'e': 0.00027465356997214205}",25,18,12.772029158401763,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'a': 0.1, 'e': 0.00024851682710795185}",30,0,43.62431932750204,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
84,False,"{'a': 0.1, 'e': 0.0002248673241788482}",25,0,33.073094065735475,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
85,False,"{'a': 0.1, 'e': 0.00020346836901064417}",20,0,29.711294918967983,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.1, 'e': 0.0001841057936675792}",20,0,28.04069132381656,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.1, 'e': 0.00016658581098763324}",20,0,20.954298955550975,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
88,False,"{'a': 0.1, 'e': 0.0001507330750954765}",25,0,30.19642674518871,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
89,False,"{'a': 0.1, 'e': 0.0001363889264820114}",25,0,24.823699185848337,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
90,False,"{'a': 0.1, 'e': 0.00012340980408667956}",20,0,22.689275692127772,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.1, 'e': 0.00011166580849011478}",30,0,41.72069873753426,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
92,False,"{'a': 0.1, 'e': 0.00010103940183709324}",25,0,26.472130501681946,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
93,False,"{'a': 0.1, 'e': 9.142423147817327e-05}",25,0,35.4483207692483,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
