trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.1}",20,0,-109.25042250085652,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.010000000000000002}",20,0,-86.30517094225613,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
3,False,"{'a': 0.1, 'e': 0.0010000000000000002}",25,0,-36.05164404361799,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.00010000000000000002}",30,0,-136.84180454835,"{0: 23, 1: 2, 2: 1, 3: 1, 4: 3}",0
5,False,"{'a': 0.1, 'e': 1.0000000000000003e-05}",25,0,-86.77646751069746,"{0: 21, 1: 0, 2: 1, 3: 1, 4: 2}",0
6,False,"{'a': 0.1, 'e': 1.0000000000000004e-06}",25,0,30.55884368425012,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 1.0000000000000004e-07}",25,0,7.313862749649199,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.1, 'e': 1.0000000000000005e-08}",20,0,21.552364745906473,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 1.0000000000000005e-09}",20,0,26.430456369586658,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.1, 'e': 1.0000000000000006e-10}",25,0,27.74962818362605,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
11,False,"{'a': 0.1, 'e': 1.0000000000000006e-11}",20,0,-46.29645995128836,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
12,False,"{'a': 0.1, 'e': 1.0000000000000006e-12}",20,0,-33.01795046350987,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 1.0000000000000008e-13}",20,0,22.26000146290294,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
14,False,"{'a': 0.1, 'e': 1.0000000000000008e-14}",25,0,-21.409880271162454,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
15,False,"{'a': 0.1, 'e': 1.0000000000000009e-15}",30,0,29.842716523616023,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
16,False,"{'a': 0.1, 'e': 1.0000000000000008e-16}",20,0,-15.888772720643184,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 1.000000000000001e-17}",20,0,22.109263964956966,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 1.000000000000001e-18}",20,0,-30.486404728849617,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 1.000000000000001e-19}",25,0,21.099348729382754,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.1, 'e': 1.0000000000000011e-20}",30,0,38.47214321933194,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,-1.53390104854674,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",20,0,-86.40715293092335,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
3,True,"{'a': 0.0, 'e': 0.0}",35,0,-19.892828185890767,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",0
4,True,"{'a': 0.0, 'e': 0.0}",20,0,2.599909754477412,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,14.173379601934778,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",20,0,-22.03232455385523,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,31.92830996661374,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",25,0,7.653237735775612,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",25,0,12.201032055067536,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
10,True,"{'a': 0.0, 'e': 0.0}",25,20,9.59090522670076,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
