trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 1.0}",20,0,-127.83016365715812,"{0: 11, 1: 2, 2: 5, 3: 0, 4: 2}",0
2,False,"{'a': 0.1, 'e': 0.25}",25,2,-71.30432227769401,"{0: 17, 1: 1, 2: 3, 3: 1, 4: 1}",1
3,False,"{'a': 0.1, 'e': 0.1111111111111111}",25,0,0.9021499257291854,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.0625}",20,0,-64.09765954291957,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.04}",30,8,1.1451787930567392,"{0: 18, 1: 3, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.1, 'e': 0.027777777777777776}",25,0,16.803385379010233,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.02040816326530612}",25,0,36.53937242806293,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.015625}",20,0,6.519211650549546,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.012345679012345678}",30,0,-90.43914065045495,"{0: 26, 1: 1, 2: 0, 3: 0, 4: 3}",0
10,False,"{'a': 0.1, 'e': 0.01}",30,0,-42.44805513371313,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
11,False,"{'a': 0.1, 'e': 0.008264462809917356}",20,0,25.178129884368246,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.006944444444444444}",20,0,-16.945234288794303,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.005917159763313609}",30,0,-0.8223346682428574,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.00510204081632653}",20,0,24.496033031087357,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.0044444444444444444}",20,0,-14.218883259976263,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.00390625}",25,0,-15.187724310393847,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.0034602076124567475}",35,0,43.82584895743313,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.0030864197530864196}",20,0,17.98851337667965,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
19,False,"{'a': 0.1, 'e': 0.002770083102493075}",20,0,15.331317423917204,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.0025}",30,0,18.808233317309433,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
1,True,"{'a': 0.0, 'e': 0.0}",20,0,28.7089384040782,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
2,True,"{'a': 0.0, 'e': 0.0}",30,14,22.352732042884607,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0.0, 'e': 0.0}",25,0,34.5019260690503,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0.0, 'e': 0.0}",25,0,22.75834964736613,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
5,True,"{'a': 0.0, 'e': 0.0}",25,0,36.63989661404299,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,True,"{'a': 0.0, 'e': 0.0}",25,0,30.199339099267778,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0.0, 'e': 0.0}",30,0,5.296064217014437,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
8,True,"{'a': 0.0, 'e': 0.0}",35,0,33.589474537009636,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,True,"{'a': 0.0, 'e': 0.0}",20,6,22.703903200069636,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0.0, 'e': 0.0}",35,0,-73.38461278646143,"{0: 32, 1: 0, 2: 0, 3: 0, 4: 3}",0
